Jim Lehrer just directed the debate audience ... 30 seconds ... #tweetdebate	^ ^ R V D N N , $ N , #	0.9979 0.9959 0.9992 0.9967 0.9997 0.9963 0.9881 0.9623 0.9930 0.9717 0.9633 0.9767	Jim Lehrer just directed the debate audience ... 30 seconds ... #tweetdebate
Here we go . #tweetdebate	R O V , #	0.9258 0.9986 0.9946 0.9968 0.9858	Here we go. #tweetdebate
what is an appropriately bi-partisan food to bring to a debate party ? #tweetdebate	O V D R A N P V P D N N , #	0.9962 0.9994 0.9665 0.9763 0.9931 0.9989 0.9990 0.9999 0.9748 0.9944 0.9987 0.9933 0.9950 0.9816	what is an appropriately bi-partisan food to bring to a debate party? #tweetdebate
@current one minute to get your stuff together #current	@ $ N P V D N R #	0.9990 0.9686 0.9673 0.9995 1.0000 0.9964 0.9990 0.9717 0.8841	@current one minute to get your stuff together #current
@current I've got the live stream going #current .... awesome !	@ L V D A N V # , A ,	0.9992 0.9779 0.9992 0.9942 0.9236 0.9811 0.9944 0.4348 0.9853 0.9280 0.9988	@current I've got the live stream going #current....awesome!
Anyone else actually kinda nervous ? #tweetdebate	N R R R A , #	0.9530 0.9429 0.9994 0.9964 0.9940 0.9948 0.9797	Anyone else actually kinda nervous? #tweetdebate
Watching by myself #tweetdebate Not drinking :( waiting to start cringing at McCains blunders	V P O # R V E V P V V P ^ N	0.9960 0.9972 0.9916 0.8683 0.9776 0.9871 0.9525 0.9972 0.9944 0.9988 0.9964 0.9976 0.6118 0.8333	Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders
Current TV is pretty cool . Streaming Twitter feedback #tweetdebate	A N V R A , V ^ N #	0.9863 0.9874 0.9919 0.9791 0.9954 0.9972 0.8708 0.9920 0.9946 0.9344	Current TV is pretty cool. Streaming Twitter feedback #tweetdebate
#tweetdebate the first debate is about to start	# D A N V P P V	0.8879 0.9992 0.9857 0.9995 0.9989 0.6680 0.9881 0.9967	#tweetdebate the first debate is about to start
#tweetdebate - good luck both candidates	# , A N D N	0.8409 0.9443 0.9907 0.9783 0.7241 0.9976	#tweetdebate - good luck both candidates
" @ahg3 @MichDot Yeah , slime was actually my second choice , can't say what the first one was . Okay , we're rolling ... "	, @ @ ! , N V R D A N , V V O D A $ V , ! , L V , ,	0.9203 0.9978 0.9978 0.9986 0.9962 0.9483 0.9920 0.9991 0.9938 0.9764 0.9964 0.9985 0.9973 0.9990 0.9839 0.9992 0.9924 0.9257 0.9288 0.9977 0.8199 0.9985 0.9501 0.9232 0.9338 0.9878	"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling..."
" #tweetdebate ready , set , go ! "	, # A , V , V , ,	0.9743 0.8522 0.9783 0.9955 0.5390 0.9974 0.8997 0.9976 0.9893	"#tweetdebate ready, set, go!"
" Just ordered pizza and got the cat settled , ready to watch the debates #tweetdebate "	, R V N & V D N V , A P V D N # ,	0.9919 0.9977 0.9808 0.8774 0.9966 0.9990 0.9996 0.8019 0.9348 0.9980 0.9633 0.9994 0.9993 0.9997 0.9988 0.8998 0.9871	"Just ordered pizza and got the cat settled, ready to watch the debates #tweetdebate"
Any drinking game ideas for #tweetdebate ?	D V N N P ^ ,	0.9043 0.5311 0.9831 0.9571 0.9986 0.6055 0.9948	Any drinking game ideas for #tweetdebate?
Preparing to have a heart attack #tweetdebate	V P V D N N #	0.9943 0.9940 0.9999 0.9992 0.9842 0.5903 0.9622	Preparing to have a heart attack #tweetdebate
" no debate moderators under 50 , sorry #tweetdebate "	, D N N P $ , A # ,	0.9902 0.9324 0.9991 0.9768 0.9918 0.9838 0.9977 0.9271 0.9054 0.9906	"no debate moderators under 50, sorry  #tweetdebate"
@current Now staring at black screen on http://www.current.com/debate grrrrrrrrrrrrrrr #current	@ R V P A N P U ! #	0.9993 0.9937 0.9984 0.9958 0.8165 0.9885 0.9910 0.9959 0.9122 0.9222	@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current
